HHS_HCC,SecondaryHCC_1,SecondaryHCC_2,SecondaryHCC_3,SecondaryHCC_4,SecondaryHCC_5,SecondaryHCC_6,SecondaryHCC_7,SecondaryHCC_8
HHS_HCC001,,,,,,,,
HHS_HCC002,,,,,,,,
HHS_HCC003,HHS_HCC004,,,,,,,
HHS_HCC004,,,,,,,,
HHS_HCC006,,,,,,,,
HHS_HCC008,HHS_HCC009,HHS_HCC010,HHS_HCC011,HHS_HCC012,HHS_HCC013,,,
HHS_HCC009,HHS_HCC010,HHS_HCC011,HHS_HCC012,HHS_HCC013,,,,
HHS_HCC010,HHS_HCC011,HHS_HCC012,HHS_HCC013,,,,,
HHS_HCC011,HHS_HCC012,HHS_HCC013,,,,,,
HHS_HCC012,HHS_HCC013,,,,,,,
HHS_HCC013,,,,,,,,
HHS_HCC018,HHS_HCC019,HHS_HCC020,HHS_HCC021,HHS_HCC022,,,,
HHS_HCC019,HHS_HCC020,HHS_HCC021,,,,,,
HHS_HCC020,HHS_HCC021,,,,,,,
HHS_HCC021,,,,,,,,
HHS_HCC022,,,,,,,,
HHS_HCC023,,,,,,,,
HHS_HCC026,,,,,,,,
HHS_HCC027,,,,,,,,
HHS_HCC028,,,,,,,,
HHS_HCC029,,,,,,,,
HHS_HCC030,,,,,,,,
HHS_HCC034,HHS_HCC035_1,HHS_HCC035_2,HHS_HCC036,HHS_HCC037_1,HHS_HCC037_2,,,
HHS_HCC035_1,HHS_HCC035_2,HHS_HCC036,HHS_HCC037_1,HHS_HCC037_2,,,,
HHS_HCC035_2,HHS_HCC036,HHS_HCC037_1,HHS_HCC037_2,,,,,
HHS_HCC036,HHS_HCC037_1,HHS_HCC037_2,,,,,,
HHS_HCC037_1,HHS_HCC037_2,,,,,,,
HHS_HCC037_2,,,,,,,,
HHS_HCC041,HHS_HCC045,HHS_HCC048,,,,,,
HHS_HCC042,HHS_HCC045,,,,,,,
HHS_HCC045,,,,,,,,
HHS_HCC046,HHS_HCC047,,,,,,,
HHS_HCC047,,,,,,,,
HHS_HCC048,,,,,,,,
HHS_HCC054,HHS_HCC055,,,,,,,
HHS_HCC055,,,,,,,,
HHS_HCC056,HHS_HCC057,,,,,,,
HHS_HCC057,,,,,,,,
HHS_HCC061,,,,,,,,
HHS_HCC062,,,,,,,,
HHS_HCC063,,,,,,,,
HHS_HCC064,,,,,,,,
HHS_HCC066,HHS_HCC075,,,,,,,
HHS_HCC067,HHS_HCC075,,,,,,,
HHS_HCC068,HHS_HCC069,HHS_HCC074,HHS_HCC075,,,,,
HHS_HCC069,,,,,,,,
HHS_HCC070,HHS_HCC071,,,,,,,
HHS_HCC071,,,,,,,,
HHS_HCC073,HHS_HCC074,,,,,,,
HHS_HCC074,,,,,,,,
HHS_HCC075,,,,,,,,
HHS_HCC081,HHS_HCC082,HHS_HCC083,HHS_HCC084,,,,,
HHS_HCC082,HHS_HCC083,HHS_HCC084,,,,,,
HHS_HCC083,HHS_HCC084,,,,,,,
HHS_HCC084,,,,,,,,
HHS_HCC087_1,HHS_HCC087_2,HHS_HCC088,HHS_HCC090,HHS_HCC102,HHS_HCC103,,,
HHS_HCC087_2,HHS_HCC088,HHS_HCC090,HHS_HCC102,HHS_HCC103,,,,
HHS_HCC088,HHS_HCC090,HHS_HCC102,HHS_HCC103,,,,,
HHS_HCC090,,,,,,,,
HHS_HCC094,,,,,,,,
HHS_HCC096,HHS_HCC097,,,,,,,
HHS_HCC097,,,,,,,,
HHS_HCC102,HHS_HCC090,HHS_HCC103,,,,,,
HHS_HCC103,HHS_HCC090,,,,,,,
HHS_HCC106,HHS_HCC107,HHS_HCC108,HHS_HCC109,HHS_HCC110,HHS_HCC150,HHS_HCC151,HHS_HCC228,
HHS_HCC107,HHS_HCC109,HHS_HCC110,HHS_HCC150,HHS_HCC151,HHS_HCC228,,,
HHS_HCC108,HHS_HCC109,HHS_HCC110,HHS_HCC151,HHS_HCC228,,,,
HHS_HCC109,HHS_HCC110,HHS_HCC151,HHS_HCC228,,,,,
HHS_HCC110,HHS_HCC228,,,,,,,
HHS_HCC111,,,,,,,,
HHS_HCC112,HHS_HCC107,HHS_HCC109,HHS_HCC110,HHS_HCC113,HHS_HCC150,HHS_HCC151,HHS_HCC228,
HHS_HCC113,HHS_HCC107,HHS_HCC109,HHS_HCC110,HHS_HCC150,HHS_HCC151,HHS_HCC228,,
HHS_HCC114,HHS_HCC121,,,,,,,
HHS_HCC115,,,,,,,,
HHS_HCC117,,,,,,,,
HHS_HCC118,,,,,,,,
HHS_HCC119,,,,,,,,
HHS_HCC120,,,,,,,,
HHS_HCC121,,,,,,,,
HHS_HCC122,,,,,,,,
HHS_HCC123,,,,,,,,
HHS_HCC125,HHS_HCC126,HHS_HCC127,,,,,,
HHS_HCC126,HHS_HCC127,,,,,,,
HHS_HCC127,,,,,,,,
HHS_HCC128,HHS_HCC129,HHS_HCC130,,,,,,
HHS_HCC129,HHS_HCC130,,,,,,,
HHS_HCC130,,,,,,,,
HHS_HCC131,HHS_HCC132,,,,,,,
HHS_HCC132,,,,,,,,
HHS_HCC135,,,,,,,,
HHS_HCC137,HHS_HCC138,HHS_HCC139,,,,,,
HHS_HCC138,HHS_HCC139,,,,,,,
HHS_HCC139,,,,,,,,
HHS_HCC142,,,,,,,,
HHS_HCC145,HHS_HCC146,HHS_HCC149,,,,,,
HHS_HCC146,,,,,,,,
HHS_HCC149,,,,,,,,
HHS_HCC150,HHS_HCC151,,,,,,,
HHS_HCC151,,,,,,,,
HHS_HCC153,HHS_HCC217,HHS_HCC234,HHS_HCC254,,,,,
HHS_HCC154,,,,,,,,
HHS_HCC156,,,,,,,,
HHS_HCC158,HHS_HCC159,HHS_HCC160,HHS_HCC161_1,HHS_HCC161_2,HHS_HCC162,,,
HHS_HCC159,HHS_HCC160,HHS_HCC161_1,HHS_HCC161_2,,,,,
HHS_HCC160,HHS_HCC161_1,HHS_HCC161_2,,,,,,
HHS_HCC161_1,HHS_HCC161_2,,,,,,,
HHS_HCC161_2,,,,,,,,
HHS_HCC162,HHS_HCC161_1,HHS_HCC161_2,,,,,,
HHS_HCC163,,,,,,,,
HHS_HCC174,,,,,,,,
HHS_HCC183,HHS_HCC184,HHS_HCC187,HHS_HCC188,,,,,
HHS_HCC184,HHS_HCC187,HHS_HCC188,,,,,,
HHS_HCC187,HHS_HCC188,,,,,,,
HHS_HCC188,,,,,,,,
HHS_HCC203,HHS_HCC204,HHS_HCC205,HHS_HCC210,HHS_HCC211,HHS_HCC212,,,
HHS_HCC204,HHS_HCC205,HHS_HCC210,HHS_HCC211,HHS_HCC212,,,,
HHS_HCC205,HHS_HCC210,HHS_HCC211,HHS_HCC212,,,,,
HHS_HCC207,HHS_HCC203,HHS_HCC204,HHS_HCC205,HHS_HCC208,HHS_HCC209,HHS_HCC210,HHS_HCC211,HHS_HCC212
HHS_HCC208,HHS_HCC209,HHS_HCC210,HHS_HCC211,HHS_HCC212,,,,
HHS_HCC209,HHS_HCC210,HHS_HCC211,HHS_HCC212,,,,,
HHS_HCC210,HHS_HCC211,HHS_HCC212,,,,,,
