ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION,valid_ICD10_2025,valid_ICD10_2026
A0101,3.0,,,,True,True
A0102,135.0,,,,True,True
A0104,55.0,,,,True,True
A0105,55.0,,,,True,True
A021,2.0,,,,True,True
A0221,3.0,,,,True,True
A0223,55.0,,,,True,True
A0224,55.0,,,,True,True
A064,35.1,,,,True,True
A065,163.0,,,,True,True
A066,3.0,,,,True,True
A072,6.0,,,,True,True
A170,3.0,,,,True,True
A171,3.0,,,,True,True
A1781,3.0,,,,True,True
A1782,3.0,,,,True,True
A1783,3.0,,,,True,True
A1789,3.0,,,,True,True
A179,3.0,,,,True,True
A203,3.0,,,,True,True
A207,2.0,,,,True,True
A227,2.0,,,,True,True
A267,2.0,,,,True,True
A2781,3.0,,,,True,True
A310,6.0,,,,True,True
A312,6.0,,,,True,True
A3211,3.0,,,,True,True
A3212,3.0,,,,True,True
A327,2.0,,,,True,True
A3282,135.0,,,,True,True
A34,3.0,9 <= age <= 64,,,True,True
A35,3.0,,,,True,True
A3681,130.0,,,,True,True
A381,135.0,,,,True,True
A390,3.0,,,,True,True
A391,30.0,,,,True,True
A392,2.0,,,,True,True
A393,2.0,,,,True,True
A394,2.0,,,,True,True
A3950,135.0,,,,True,True
A3951,135.0,,,,True,True
A3952,135.0,,,,True,True
A3953,135.0,,,,True,True
A3981,3.0,,,,True,True
A3983,55.0,,,,True,True
A3984,55.0,,,,True,True
A400,2.0,,,,True,True
A401,2.0,,,,True,True
A403,2.0,,,,True,True
A408,2.0,,,,True,True
A409,2.0,,,,True,True
A4101,2.0,,,,True,True
A4102,2.0,,,,True,True
A411,2.0,,,,True,True
A412,2.0,,,,True,True
A413,2.0,,,,True,True
A414,2.0,,,,True,True
A4150,2.0,,,,True,True
A4151,2.0,,,,True,True
A4152,2.0,,,,True,True
A4153,2.0,,,,True,True
A4154,2.0,,,,True,True
A4159,2.0,,,,True,True
A4181,2.0,,,,True,True
A4189,2.0,,,,True,True
A419,2.0,,,,True,True
A427,2.0,,,,True,True
A4281,3.0,,,,True,True
A4282,3.0,,,,True,True
A480,153.0,,,,True,True
A481,163.0,,,,True,True
A483,2.0,,,,True,True
A5004,163.0,,,,True,True
A5040,3.0,,,,True,True
A5041,3.0,,,,True,True
A5042,3.0,,,,True,True
A5043,3.0,,,,True,True
A5044,3.0,,,,True,True
A5045,3.0,,,,True,True
A5049,3.0,,,,True,True
A5054,135.0,,,,True,True
A5055,55.0,,,,True,True
A5141,3.0,,,,True,True
A5200,135.0,,,,True,True
A5201,135.0,,,,True,True
A5202,135.0,,,,True,True
A5203,135.0,,,,True,True
A5205,149.0,,,,True,True
A5206,135.0,,,,True,True
A5209,135.0,,,,True,True
A5210,3.0,,,,True,True
A5211,3.0,,,,True,True
A5212,3.0,,,,True,True
A5213,3.0,,,,True,True
A5214,3.0,,,,True,True
A5215,3.0,,,,True,True
A5216,3.0,,,,True,True
A5217,3.0,,,,True,True
A5219,3.0,,,,True,True
A522,3.0,,,,True,True
A523,3.0,,,,True,True
A5440,55.0,,,,True,True
A5441,55.0,,,,True,True
A5442,55.0,,,,True,True
A5443,55.0,,,,True,True
A5449,55.0,,,,True,True
A5481,3.0,,,,True,True
A5482,3.0,,,,True,True
A5483,135.0,,,,True,True
A5485,42.0,,,,True,True
A5486,2.0,,,,True,True
A666,55.0,,,,True,True
A6921,3.0,,,,True,True
A6923,55.0,,,,True,True
A800,3.0,,,,True,True
A801,3.0,,,,True,True
A802,3.0,,,,True,True
A8030,3.0,,,,True,True
A8039,3.0,,,,True,True
A804,3.0,,,,True,True
A809,3.0,,,,True,True
A820,3.0,,,,True,True
A821,3.0,,,,True,True
A829,3.0,,,,True,True
A830,3.0,,,,True,True
A831,3.0,,,,True,True
A832,3.0,,,,True,True
A833,3.0,,,,True,True
A834,3.0,,,,True,True
A835,3.0,,,,True,True
A836,3.0,,,,True,True
A838,3.0,,,,True,True
A839,3.0,,,,True,True
A840,3.0,,,,True,True
A841,3.0,,,,True,True
A8481,3.0,,,,True,True
A8489,3.0,,,,True,True
A849,3.0,,,,True,True
A850,3.0,,,,True,True
A851,3.0,,,,True,True
A852,3.0,,,,True,True
A858,3.0,,,,True,True
A86,3.0,,,,True,True
A870,4.0,,,,True,True
A871,4.0,,,,True,True
A872,4.0,,,,True,True
A878,4.0,,,,True,True
A879,4.0,,,,True,True
A880,4.0,,,,True,True
A888,3.0,,,,True,True
A89,3.0,,,,True,True
A922,3.0,,,,True,True
A9230,3.0,,,,True,True
A9231,3.0,,,,True,True
A9232,3.0,,,,True,True
A9239,3.0,,,,True,True
B003,4.0,,,,True,True
B004,3.0,,,,True,True
B007,2.0,,,,True,True
B0082,110.0,,,,True,True
B010,4.0,,,,True,True
B0111,3.0,,,,True,True
B0112,110.0,,,,True,True
B020,3.0,,,,True,True
B021,4.0,,,,True,True
B0224,110.0,,,,True,True
B050,3.0,,,,True,True
B051,4.0,,,,True,True
B0601,3.0,,,,True,True
B0602,4.0,,,,True,True
B0682,55.0,,,,True,True
