Group,HCC_list_1,HCC_list_2,HCC_list_3
G01,HHS_HCC019,HHS_HCC020,HHS_HCC021
G02B,HHS_HCC026,HHS_HCC027,
G02D,HHS_HCC028,HHS_HCC029,
G03,HHS_HCC054,HHS_HCC055,
G04,HHS_HCC061,HHS_HCC062,
G06A,HHS_HCC067,HHS_HCC068,HHS_HCC069
G08,HHS_HCC073,HHS_HCC074,
G09A,HHS_HCC081,HHS_HCC082,
G09C,HHS_HCC083,HHS_HCC084,
G10,HHS_HCC106,HHS_HCC107,
G11,HHS_HCC108,HHS_HCC109,
G12,HHS_HCC117,HHS_HCC119,
G13,HHS_HCC126,HHS_HCC127,
G14,HHS_HCC128,HHS_HCC129,
G23,HHS_HCC131,HHS_HCC132,
G16,HHS_HCC187,HHS_HCC188,
G17A,HHS_HCC204,HHS_HCC205,
G18A,HHS_HCC207,HHS_HCC208,
G19B,HHS_HCC210,HHS_HCC211,
G22,HHS_HCC234,HHS_HCC254,
