Variable,Platinum Level,Gold Level,Silver Level,Bronze Level,Catastrophic Level
MAGE_LAST_2_4,0.27,0.191,0.141,0.105,0.104
MAGE_LAST_5_9,0.204,0.135,0.096,0.071,0.071
MAGE_LAST_10_14,0.224,0.156,0.115,0.09,0.089
MAGE_LAST_15_20,0.26,0.187,0.137,0.102,0.101
FAGE_LAST_2_4,0.223,0.153,0.113,0.089,0.088
FAGE_LAST_5_9,0.149,0.086,0.053,0.034,0.034
FAGE_LAST_10_14,0.222,0.153,0.113,0.089,0.088
FAGE_LAST_15_20,0.3,0.212,0.145,0.097,0.095
HHS_HCC001,4.355,3.942,3.856,3.659,3.657
HHS_HCC002,14.567,14.37,14.294,14.176,14.174
HHS_HCC003,13.944,13.811,13.745,13.658,13.656
HHS_HCC004,12.972,12.833,12.741,12.617,12.614
HHS_HCC006,18.957,18.895,18.813,18.719,18.716
HHS_HCC008,30.53,30.304,30.243,30.137,30.136
HHS_HCC009,8.962,8.738,8.64,8.486,8.484
HHS_HCC010,7.708,7.523,7.421,7.266,7.263
HHS_HCC011,4.194,4.057,3.972,3.844,3.841
HHS_HCC012,4.194,4.057,3.972,3.844,3.841
HHS_HCC013,1.265,1.155,1.058,0.937,0.933
HHS_HCC018,11.66,11.58,11.544,11.505,11.503
HHS_HCC019,0.0,0.0,0.0,0.0,0.0
HHS_HCC020,0.0,0.0,0.0,0.0,0.0
HHS_HCC021,0.0,0.0,0.0,0.0,0.0
HHS_HCC023,19.614,19.505,19.457,19.397,19.396
HHS_HCC026,0.0,0.0,0.0,0.0,0.0
HHS_HCC027,0.0,0.0,0.0,0.0,0.0
HHS_HCC028,0.0,0.0,0.0,0.0,0.0
HHS_HCC029,0.0,0.0,0.0,0.0,0.0
HHS_HCC030,5.289,5.072,5.007,4.902,4.901
HHS_HCC034,11.66,11.58,11.544,11.505,11.503
HHS_HCC035_1,7.742,7.607,7.57,7.488,7.487
HHS_HCC035_2,7.742,7.607,7.57,7.488,7.487
HHS_HCC036,3.999,3.881,3.835,3.764,3.763
HHS_HCC037_1,1.257,1.152,1.093,1.027,1.025
HHS_HCC037_2,0.294,0.249,0.198,0.14,0.138
HHS_HCC041,13.387,13.303,13.228,13.137,13.135
HHS_HCC042,19.019,18.756,18.703,18.597,18.597
HHS_HCC045,4.601,4.431,4.343,4.208,4.205
HHS_HCC046,10.235,10.115,10.085,10.007,10.007
HHS_HCC047,4.988,4.771,4.687,4.541,4.538
HHS_HCC048,9.947,9.582,9.498,9.313,9.311
