Variable,Platinum Level,Gold Level,Silver Level,Bronze Level,Catastrophic Level
EXTREMELY_IMMATURE_X_SEVERITY5,204.04,202.652,202.406,201.915,201.913
EXTREMELY_IMMATURE_X_SEVERITY4,149.999,148.437,148.051,147.377,147.372
EXTREMELY_IMMATURE_X_SEVERITY3,32.887,31.619,31.251,30.693,30.687
EXTREMELY_IMMATURE_X_SEVERITY2,32.887,31.619,31.251,30.693,30.687
EXTREMELY_IMMATURE_X_SEVERITY1,32.887,31.619,31.251,30.693,30.687
IMMATURE_X_SEVERITY5,121.913,120.553,120.309,119.828,119.827
IMMATURE_X_SEVERITY4,71.026,69.564,69.264,68.692,68.689
IMMATURE_X_SEVERITY3,32.887,31.619,31.251,30.693,30.687
IMMATURE_X_SEVERITY2,30.558,29.332,28.96,28.403,28.398
IMMATURE_X_SEVERITY1,25.11,23.887,23.485,22.871,22.863
PREMATURE_MULTIPLES_X_SEVERITY5,108.585,107.335,107.096,106.631,106.628
PREMATURE_MULTIPLES_X_SEVERITY4,29.666,28.404,28.06,27.49,27.486
PREMATURE_MULTIPLES_X_SEVERITY3,13.527,12.617,12.148,11.482,11.467
PREMATURE_MULTIPLES_X_SEVERITY2,8.071,7.368,6.849,6.149,6.131
PREMATURE_MULTIPLES_X_SEVERITY1,5.765,5.167,4.644,4.023,4.005
TERM_X_SEVERITY5,81.884,80.752,80.438,79.915,79.909
TERM_X_SEVERITY4,16.19,15.254,14.803,14.17,14.158
TERM_X_SEVERITY3,5.77,5.207,4.688,4.061,4.041
TERM_X_SEVERITY2,3.712,3.231,2.707,2.109,2.092
TERM_X_SEVERITY1,1.968,1.597,1.135,0.784,0.776
AGE1_X_SEVERITY5,69.391,68.741,68.568,68.287,68.284
AGE1_X_SEVERITY4,12.653,12.17,11.942,11.641,11.635
AGE1_X_SEVERITY3,2.829,2.569,2.374,2.179,2.174
AGE1_X_SEVERITY2,1.855,1.628,1.423,1.216,1.21
AGE1_X_SEVERITY1,0.581,0.487,0.431,0.394,0.393
AGE0_MALE,0.604,0.566,0.539,0.475,0.473
AGE1_MALE,0.09,0.076,0.06,0.042,0.041
